Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-23 00:00:00-05:00,1148.0,1154.0,1130.25,1133.0,125088,0.0,0.0
2024-02-26 00:00:00-05:00,1137.0,1142.25,1124.75,1136.0,98731,0.0,0.0
2024-02-27 00:00:00-05:00,1136.0,1152.25,1128.75,1131.25,79533,0.0,0.0
2024-02-28 00:00:00-05:00,1132.25,1144.5,1124.75,1134.0,37481,0.0,0.0
2024-02-29 00:00:00-05:00,1132.0,1136.0,1115.0,1128.25,4459,0.0,0.0
2024-03-01 00:00:00-05:00,1128.25,1143.5,1126.75,1143.0,763,0.0,0.0
2024-03-04 00:00:00-05:00,1152.0,1158.0,1145.0,1147.0,404,0.0,0.0
2024-03-05 00:00:00-05:00,1147.0,1147.0,1138.75,1140.75,1080,0.0,0.0
2024-03-06 00:00:00-05:00,1138.5,1140.25,1132.25,1140.25,287,0.0,0.0
2024-03-07 00:00:00-05:00,1155.0,1157.0,1151.0,1157.0,443,0.0,0.0
2024-03-08 00:00:00-05:00,1157.0,1170.5,1145.5,1170.5,199,0.0,0.0
2024-03-11 00:00:00-04:00,1170.0,1170.75,1165.0,1165.0,42,0.0,0.0
2024-03-12 00:00:00-04:00,1167.0,1182.0,1167.0,1182.0,73,0.0,0.0
2024-03-13 00:00:00-04:00,1178.25,1182.75,1173.75,1181.75,24,0.0,0.0
2024-03-14 00:00:00-04:00,1182.0,1198.5,1180.75,1180.75,164064,0.0,0.0
2024-03-15 00:00:00-04:00,1194.5,1200.0,1183.5,1198.25,117888,0.0,0.0
2024-03-18 00:00:00-04:00,1198.5,1206.0,1186.75,1187.75,97550,0.0,0.0
2024-03-19 00:00:00-04:00,1188.0,1192.25,1181.0,1185.5,103620,0.0,0.0
2024-03-20 00:00:00-04:00,1185.5,1211.75,1183.5,1209.5,161255,0.0,0.0
2024-03-21 00:00:00-04:00,1209.0,1226.75,1204.0,1212.0,150049,0.0,0.0
2024-03-22 00:00:00-04:00,1211.0,1211.25,1189.25,1192.5,121895,0.0,0.0
2024-03-25 00:00:00-04:00,1194.0,1210.0,1188.5,1209.25,106767,0.0,0.0
2024-03-26 00:00:00-04:00,1207.5,1208.0,1197.75,1199.0,119009,0.0,0.0
2024-03-27 00:00:00-04:00,1196.75,1198.0,1189.5,1192.5,104399,0.0,0.0
2024-03-28 00:00:00-04:00,1191.75,1199.5,1177.0,1191.5,160360,0.0,0.0
2024-04-01 00:00:00-04:00,1196.25,1201.75,1181.5,1185.75,104397,0.0,0.0
2024-04-02 00:00:00-04:00,1185.5,1199.75,1171.0,1174.0,173481,0.0,0.0
2024-04-03 00:00:00-04:00,1175.5,1186.75,1168.5,1182.25,160346,0.0,0.0
2024-04-04 00:00:00-04:00,1182.25,1186.75,1170.25,1180.0,119935,0.0,0.0
